Part,ElementID,vonMises_Pa,Sxx_Pa,Syy_Pa,Szz_Pa,Sxy_Pa,Syz_Pa,Szx_Pa
PART_000_R31G119B180A255,15487,19193.64,-73357.51,-26116.1,507677.3,332622.1,-968.6505,1054300.3088515445
PART_000_R31G119B180A255,15488,4515.297,-85795.22,-38122.43,582580.5,164883.7,-808.0562,1051610.816537062
PART_000_R31G119B180A255,15489,15837.45,-82205.48,-45008.38,522787.8,2729.909,-1023.534,909558.0681085755
PART_000_R31G119B180A255,15490,9165.585,-82101.73,-43460.48,590933.3,-155695.9,1151.625,1061428.4241297902
PART_000_R31G119B180A255,15491,12623.46,-76821.99,-29309.39,464032.0,-344046.5,3283.418,1003554.4658148009
PART_000_R31G119B180A255,15492,14470.38,-61267.23,-9525.348,868792.6,-277861.2,3981.691,1581317.31409989
PART_000_R31G119B180A255,15493,6577.05,184092.1,-682.4665,861958.3,244887.1,953.164,1562587.949720438
PART_000_R31G119B180A255,15494,382.8616,190397.6,-3149.385,517123.5,340666.2,1674.244,1089590.8351266137
PART_000_R31G119B180A255,15495,3393.82,200026.8,-5621.191,599516.8,170624.7,493.2021,1098234.366001446
PART_000_R31G119B180A255,15496,1198.744,200926.9,-5764.07,533403.3,3063.588,-261.1312,946000.047417669
PART_000_R31G119B180A255,15497,3358.9,197566.4,-5697.659,607656.2,-159297.7,-1073.777,1106086.0404423745
PART_000_R31G119B180A255,15498,375.805,185674.0,-3266.946,472413.4,-355444.9,-2036.807,1040952.7481808271
PART_000_R31G119B180A255,15499,7037.529,177889.8,-470.645,893120.4,-285227.1,-1296.183,1633275.9541622028
PART_000_R31G119B180A255,15500,6526.474,440611.5,11195.66,863852.7,250517.9,12963.27,1616765.6116547917
PART_000_R31G119B180A255,15501,-14744.67,470202.8,22772.41,517938.2,343722.2,4628.413,1173740.5262323846
PART_000_R31G119B180A255,15502,3075.212,500643.9,33500.16,596673.3,169794.0,2562.562,1178103.7999933187
PART_000_R31G119B180A255,15503,-10244.54,501400.7,37355.98,535247.0,2380.816,30.89617,1048416.4928045537
